ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,state
6.662207397732164e-05,5.4820161372211614e-05,0.0001257476535123721,0.0002465093483415869,0.00010919931633756596,0.0004654802579959164,0.0001980824318784545,-5.639431628508251e-05,0.00018394640842458052,0.0002053559488918978,-2.572361468833229e-06,7.403689988791769e-05,0.00012622167003732498,0.0001679735333484238,0.0002048056361361522,0.0002167089320989102,0.00014582597367152782,0.00019042660228312186,0.0001506145211169536,6.663703175639641e-05,-0.04913593610032524
6.643835332462317e-05,5.736298933555809e-05,0.00013128171510510495,0.00025126675054402443,0.00011390224298494652,0.0004786854254767003,0.00020595208489564788,-5.3508537757061784e-05,0.0001904186365295618,0.00021000256910161567,2.6545814212055823e-06,7.920713384943263e-05,0.00013280864639071747,0.00017127306429604757,0.00021301778657184224,0.00022546693085082005,0.00015039972429260534,0.0001942501492572451,0.00015509634790588435,6.716943005252619e-05,-0.04965645600742191
6.565316340159712e-05,5.968141179246023e-05,0.00013662870324873436,0.0002556694901563335,0.00011868436769500925,0.0004913629929701259,0.00021354783411663603,-5.020693804130782e-05,0.000196595150346643,0.00021421084496762457,8.521020349500343e-06,8.434994777565806e-05,0.00013933565040777436,0.0001742921845002337,0.0002210740752196384,0.00023409700804446294,0.0001547171055590549,0.0001977698227544723,0.00015925029037818983,6.716943005252619e-05,-0.05017855947315997
6.455309676083114e-05,6.178454441340953e-05,0.00014178569109673573,0.0002597099541734272,0.00012353481212645288,0.0005034732675235476,0.00022084880906952735,-4.650206709297546e-05,0.0002024657308835551,0.00021797517937530934,1.4991547037187595e-05,8.945615038001767e-05,0.000145774888709316,0.00017705242319625134,0.0002289231179754191,0.00024257073080507024,0.00015877119289247555,0.0002009777808595217,0.0001630617349619885,6.716943005252619e-05,-0.05070224300069148
6.317168561483056e-05,6.368244070468559e-05,0.00014674986575118014,0.00026338199678335337,0.00012844036060315046,0.000514975981252064,0.00022783440634694557,-4.2410101789563495e-05,0.00020802028499657406,0.0002212910185280751,2.2023845570508176e-05,9.451522652899862e-05,0.00015209641942836343,0.00017957759541010877,0.0002365114145596857,0.0002508582496867656,0.0001625553441714603,0.00020386693872190235,0.0001665167870126851,6.658706593514031e-05,-0.051227503287872844
6.15452250574522e-05,6.538580450744991e-05,0.0001515183683995962,0.00026668096569950234,0.00013338547708805943,0.0005258305141704718,0.00023448458778990228,-3.79506567162555e-05,0.00021324878384803618,0.0002241546507634783,2.9569224332444135e-05,9.951534768680984e-05,0.0001582683706371869,0.00018189340478816363,0.00024378394698565747,0.00025892859733459673,0.00016606313797110976,0.00020643093448319443,0.0001696023323506937,6.562736575980097e-05,-0.05175433721990519
5.9712159969996485e-05,6.690571066559963e-05,0.00015608814210090472,0.00026960370699612656,0.0001383523479318268,0.0005359961516047617,0.00024078019868849262,-3.314658244245469e-05,0.00021814121921371227,0.0002265630199287383,3.757321342016871e-05,0.00010444341476491979,0.00016425720423585185,0.00018402701402478014,0.0002506848121565809,0.0002667500142636173,0.0001692883326144057,0.00020866410717985698,0.00017230611211595161,6.42950566495391e-05,-0.05228274185774112
5.77124277394726e-05,6.825333960185917e-05,0.0001604557925982166,0.00027214854485797476,0.00014332094891771521,0.0005454323714437712,0.00024670329506893204,-2.8023754160153807e-05,0.00022268757881304904,0.0002285135579676732,4.597621463758082e-05,0.0001092851325619187,0.00017002802246662843,0.00018600658848870385,0.00025715787878997833,0.00027429029542142116,0.00017222484653546747,0.00021056148632779713,0.0001746168103892696,6.259689181551314e-05,-0.052812714422062756
5.558676808293803e-05,6.943973086589267e-05,0.00016461746727978335,0.00027431523319602756,0.00014826913490799265,0.0005540991556424013,0.0002522374680128987,-2.261085259491525e-05,0.00022687784124438188,0.00023000404067311151,5.4714190684517037e-05,0.00011402511397631494,0.00017554491316589254,0.00018786081932613372,0.0002631474586139311,0.00028151715079364727,0.0001748667594551933,0.00021211879209043344,0.00017652415343871042,6.054157510449182e-05,-0.053344252272686965
5.3376012297031e-05,7.047555996009436e-05,0.00016856875688175304,0.0002761048768994156,0.00015317275032886667,0.0005619573198234359,0.00025736815244520734,-1.6939138189850762e-05,0.00023070199057708654,0.0002310324698528152,6.37193801800617e-05,0.00011864701127563732,0.00018077132888390457,0.0001896184329547517,0.00026859898172683724,0.00028839857313111335,0.00017720833297825902,0.0002133324442588205,0.00017801901892032922,5.8139679899146654e-05,-0.053877352883312135
5.1120364989503375e-05,7.137094193692654e-05,0.00017230462374406475,0.00027751982156458665,0.00015800575880631665,0.0005689688545643825,0.00026208290797067365,-1.1042218756734764e-05,0.00023415005019829997,0.00023132719531091816,7.292102564872349e-05,0.00012313367094491726,0.00018567049412687852,0.0001913076944311764,0.0002734596661507591,0.00029490320592161164,0.0001792440484702627,0.00021419957776036035,0.00017909355291362674,5.5403562734657115e-05,-0.05441201381158506
4.885869176513117e-05,7.213526442356924e-05,0.0001758193594305901,0.0002785635118249016,0.0001627403904679616,0.0005750972719984056,0.0002663716601444406,-4.955810131667544e-06,0.00023721213514015218,0.00023132719531091816,8.224610253208983e-05,0.00012746730804190048,0.00019020583423465695,0.00019295591264471235,0.000277679171927016,0.00030100070498874544,0.00018096865948883273,0.00021470435573799207,0.00017973823889085814,5.234727191648922e-05,-0.05494823266453758
4.662782640915804e-05,7.27770518899121e-05,0.00017910657335959705,0.0002792403198410094,0.0001673473057307768,0.0005803079516837779,0.000270226891988413,1.2825111003155636e-06,0.00023987852182445424,0.00023132719531091816,9.162003860798864e-05,0.00013162969557205622,0.0001943414188245177,0.0001945889556324682,0.00028121023058440915,0.0003066620875571009,0.00018237725563845347,0.00021470435573799207,0.00017973823889085814,4.898645142046299e-05,-0.05548600705951917
